Theta	Rounds	<X>	<Y>	<Z>
0.0	1	-0.1806640625	-0.062744140625	0.88818359375
0.0	2	0.142333984375	0.0126953125	0.7265625
0.0	3	-0.189453125	-0.139892578125	0.4306640625
0.39269908169872414	1	0.037109375	-0.08349609375	0.88720703125
0.39269908169872414	2	0.27734375	-0.042724609375	0.69091796875
0.39269908169872414	3	0.39013671875	-0.160400390625	0.297607421875
0.7853981633974483	1	0.370361328125	-0.0458984375	0.47412109375
0.7853981633974483	2	0.531982421875	-0.021240234375	0.2734375
0.7853981633974483	3	0.29296875	-0.265625	0.10888671875
1.1780972450961724	1	0.300048828125	-0.021484375	-0.369873046875
1.1780972450961724	2	0.206298828125	0.04833984375	-0.44873046875
1.1780972450961724	3	0.1103515625	0.03564453125	-0.375732421875
1.5707963267948966	1	0.27197265625	-0.068603515625	-0.82861328125
1.5707963267948966	2	0.096435546875	0.017822265625	-0.616455078125
1.5707963267948966	3	0.02880859375	0.03271484375	-0.485107421875
