Theta	Rounds	<X>	<Y>	<Z>
0.0	1	-0.220947265625	-0.119873046875	0.882080078125
0.0	2	0.10107421875	0.03662109375	0.66845703125
0.0	3	0.0068359375	-0.12548828125	0.27978515625
0.0	4	0.054931640625	0.0439453125	0.0634765625
0.39269908169872414	1	0.062744140625	-0.04248046875	0.880859375
0.39269908169872414	2	0.22216796875	-0.046142578125	0.59326171875
0.39269908169872414	3	-0.02392578125	-0.08984375	0.326416015625
0.39269908169872414	4	0.106689453125	-0.23388671875	0.062255859375
0.7853981633974483	1	0.3349609375	-0.171630859375	0.513671875
0.7853981633974483	2	0.348876953125	-0.037841796875	0.272216796875
0.7853981633974483	3	0.14111328125	-0.292236328125	0.0380859375
0.7853981633974483	4	-0.082275390625	-0.01953125	0.036376953125
1.1780972450961724	1	0.37451171875	-0.078125	-0.391845703125
1.1780972450961724	2	0.279541015625	0.06884765625	-0.372802734375
1.1780972450961724	3	0.1044921875	0.07421875	-0.002685546875
1.1780972450961724	4	-0.036376953125	-0.003173828125	-0.046630859375
1.5707963267948966	1	0.21142578125	-0.045166015625	-0.8515625
1.5707963267948966	2	0.0986328125	0.189208984375	-0.322998046875
1.5707963267948966	3	0.1044921875	0.2080078125	-0.138916015625
1.5707963267948966	4	-0.022705078125	0.139892578125	-0.05517578125
